domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id,context
Finance,Mr. John Smith,[300002],[],['Person appointed as the new Chief Financial Officer of HealthPro Innovations in August 2021 | Mr. John Smith'],Who was appointed as the new Chief Financial Officer in August 2021?,302409,Factual Question,2409,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 281, ""doc_id"": 48, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In September, a new Chief Financial Officer (CFO) was appointed, bringing extensive experience in financial management and strategic planning. The new CFO\'s appointment was expected to result in adjustments in operational focus and strategic priorities, ensuring the company\'s financial stability and growth."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 707, ""doc_id"": 61, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In March 2019, the corporation experienced a senior management change with the appointment of Ms. Jane Davis as the new Chief Financial Officer. Ms. Davis brings extensive experience in financial management, which is expected to drive improvements in financial decision-making, positively impacting short-term performance and long-term development."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 386, ""doc_id"": 51, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In October 2017, Evergreen appointed Lisa Anderson as the new Chief Financial Officer (CFO). With a proven track record in financial management within the consumer goods industry, Anderson\'s appointment is expected to strengthen the company\'s financial performance and growth strategies."", ""type"": ""Document""}}']"
Finance,Boston Cosmetics,[400074],['1. Hudson Consumer Goods Co. acquired Greenfield Cosmetics in January 2017.'],"['Significant corporate milestones included the strategic acquisition of Boston Cosmetics in January 2017 for $45 million, bolstering their position in the cosmetics market.']",Which company did Hudson Consumer Goods Co. acquire in January 2017?,403036,Factual Question,3036,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1135, ""doc_id"": 74, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In February 2017, the company decided to distribute $10 million of dividends to shareholders, returning value to shareholders and increasing investor confidence and loyalty. In March 2017, Hudson Consumer Goods Co. completed the acquisition of 30% equity of BlueLine Appliances, increasing its market share in the home appliances sector and gaining more control over operations."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1137, ""doc_id"": 74, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In August 2017, the company underwent an asset restructuring, divesting from non-performing business segments. This restructuring improved operational efficiency, reduced costs, and allowed the company to focus on core profitable areas. In September 2017, Hudson Consumer Goods Co. invested $30 million in Project Phoenix, a state-of-the-art manufacturing facility. This investment expanded production capacity, increased efficiency, and boosted profitability."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1126, ""doc_id"": 74, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3629]}, ""page_content"": ""Hudson Consumer Goods Co. is a publicly traded company based in New York, United States, specializing in the manufacturing and distribution of personal care and household products, since its establishment on April 1, 2003."", ""type"": ""Document""}}']"
Medical,Part-time librarian.,[400213],"[""1. K. Ramos's occupation is retired.""]","['K. Ramos, an 83-year-old part-time librarian and resident of Windsor, Ontario, was admitted to Windsor General Hospital following a referral due to a persistent cough and chest pain.']","According to the hospitalization records of Windsor General Hospital, what is K. Ramos's occupation?",406260,Factual Question,6260,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3678, ""doc_id"": 400213, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**News Report: Health Condition of K. Ramos at Windsor General Hospital**\\n\\nOn October 26th, K. Ramos, an 83-year-old part-time librarian and resident of Windsor, Ontario, was admitted to Windsor General Hospital following a referral due to a persistent cough and chest pain. The elderly Caucasian woman, who lives independently and is known for her generally healthy lifestyle, began experiencing sudden throbbing pain in her left femur three days prior, with no apparent cause."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2720, ""doc_id"": 213, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: K. Ramos\\nGender: Female\\nAge: 82\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 21, Greenfield Street, Windsor\\nAdmission Time: 26th October\\nRecord Time: 26th October, 10:00 AM\\nHistorian: S. Martinez, MD\\nHospital Name: Windsor General Hospital\\n\\nChief Complaint:\\nSevere bone pain and difficulty in walking for 3 days."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3682, ""doc_id"": 400213, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Windsor General Hospital continues to monitor Ms. Ramos closely, with her condition remaining stable under the current treatment plan, as confirmed during rounds by Dr. L. Green. The focus remains on managing her symptoms and confirming the diagnosis through the advanced imaging techniques scheduled soon.\\n\\nThis incident highlights the importance of prompt medical evaluation and intervention, especially in elderly patients, to ensure effective treatment and recovery."", ""type"": ""Document""}}']"
Finance,Sara White,[400075],['1. Jane Smith joined the Board of Directors in October 2021.'],"['October 2021 saw Sara White, a noted expert in cultural innovation, joining the Board of Directors.']",Who joined the Board of Directors in October 2021?,403131,Factual Question,3131,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 24, ""doc_id"": 40, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In April 2021, a change in the Board of Directors further shaped the company\'s strategic direction and long-term development. The new board members brought diverse expertise and perspectives, contributing to effective decision-making and governance."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 279, ""doc_id"": 48, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In June, two new members were appointed to the board of directors, bringing their expertise in software development and strategic planning. These appointments were expected to contribute to the long-term development direction of the company and protect shareholder interests."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3651, ""doc_id"": 400075, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""October 2021 saw Sara White, a noted expert in cultural innovation, joining the Board of Directors. Her expertise is expected to drive strategic adjustments and maximize shareholder value. Additionally, the company reported a 98% compliance rate for information disclosure, demonstrating its commitment to transparency."", ""type"": ""Document""}}']"
Finance,Data Protection Policy,[400078],"['1. InnovateTech, Inc. enhanced the Whistleblower Policy in June 2019.', '2. The policy provides a safe mechanism for reporting suspected fraudulent activities.']","['A key initiative was the enhancement of their Data Protection Policy in June, aimed at providing a safe mechanism for reporting suspected fraudulent activities']","What policy did InnovateTech, Inc. enhance in June 2019 to provide a safe mechanism for reporting suspected fraudulent activities?",402817,Factual Question,2817,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1269, ""doc_id"": 78, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3660]}, ""page_content"": ""In June, the company enhanced its Whistleblower Policy to provide employees with a safe and confidential mechanism to report suspected fraudulent activities, unethical behavior, or violations of corporate governance policies. This enhancement encouraged a speak-up culture, facilitating the detection and prevention of misconduct, and safeguarding the company\'s reputation and assets."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3660, ""doc_id"": 400078, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""The company demonstrated a robust commitment to corporate governance throughout 2019. A key initiative was the enhancement of their Data Protection Policy in June, aimed at providing a safe mechanism for reporting suspected fraudulent activities. InnovateTech\'s dedication to compliance was further solidified with the appointment of a Chief Compliance Officer in March and the revision of its Code of Ethics and Conduct in April."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1163, ""doc_id"": 75, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In April 2021, Culture Innovators Ltd. implemented a Whistleblower Hotline to enhance the reporting and detection of integrity issues. This initiative has encouraged accountability and transparency within the organization, allowing for the timely identification and resolution of potential ethical concerns. Additionally, the company conducted training on ethical conduct in May 2021, covering topics such as conflict of interest, corporate fraud, and ethical decision-making. This training has raised awareness"", ""type"": ""Document""}}']"
Finance,$60 million,[400075],['1. The acquisition of ArtEx was valued at $50 million.'],"['In January 2021, Culture Innovators Ltd. acquired ArtEx, a museum exhibition design firm, for $60 million']",How much was the acquisition of ArtEx valued at?,403142,Factual Question,3142,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1146, ""doc_id"": 75, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3648]}, ""page_content"": ""In January 2021, Culture Innovators Ltd. made a major asset acquisition by acquiring ArtEx, a renowned museum exhibition design company, valued at $50 million. This strategic move expanded the company\'s business scope and enhanced its market competitiveness. The acquisition of ArtEx led to several sub-events that further strengthened Culture Innovators Ltd.\'s position in the industry. In March 2021, the company established a subsidiary in London, United Kingdom, which provided access to a larger customer"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 565, ""doc_id"": 57, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In October, Artistic Creations Inc. further strengthened its market position by successfully acquiring a competing art gallery. This acquisition included the transfer of all gallery assets and customer contracts, allowing the company to expand its portfolio of artists, increase market share, and gain access to a new customer segment. The impact of this acquisition was reflected in the total assets indicator, which reached $150 million, showcasing the company\'s enhanced business scope and improved market"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 570, ""doc_id"": 57, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""acquiring Pacific Art Gallery with a total value of $20 million. This acquisition expanded the company\'s business scope and enhanced its market competitiveness."", ""type"": ""Document""}}']"
Law,One year of fixed-term imprisonment,[100138],[],['The defendant is hereby sentenced to one year of fixed-term imprisonment.'],"According to the court judgment of Summerville, Windsor, Court, what was the sentence for F. James?",104633,Factual Question,4633,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2079, ""doc_id"": 138, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""---\\n\\n**Case Statement:**\\n\\nThe defendant, F. James, engaged in a series of disruptive behaviors that posed a significant threat to public order and peace. These behaviors were not isolated incidents but rather a pattern of conduct that caused considerable distress and fear among the community members of Summerville. The court examined each incident meticulously, considering the details, evidence, and impact on the victims involved."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2101, ""doc_id"": 138, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Lastly, the evidence suggests premeditation and deliberate intent in the defendant\'s actions. The manner in which F. James persisted in her confrontational behavior, despite previous complaints and interventions by law enforcement, indicates a willful disregard for legal and social norms. This court finds it necessary to impose a sentence that reflects the seriousness of these offenses and serves as a deterrent to similar conduct in the future.\\n\\n---\\n\\n**Judgment Result:**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2080, ""doc_id"": 138, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""The defendant, F. James, has been a resident of 39 Knoxville Street, Windsor, and is employed as a Retail Store Manager. Despite her professional responsibilities, the investigation revealed a troubling pattern of conduct indicative of a disregard for social norms and legal boundaries."", ""type"": ""Document""}}']"
Medical,Severe abdominal pain and nausea.,[400194],"[""1. L. Brown's chief complaint is a high fever."", '2. L. Brown experiences chills.', '3. L. Brown has a headache for 3 days.']","['Ashland General Hospital has reported a case of a 32-year-old male data analyst, L. Brown, who was admitted on March 25th with severe abdominal pain and nausea.']","According to the hospitalization records of Ashland General Hospital, what is L. Brown's chief complaint?",406111,Factual Question,6111,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2408, ""doc_id"": 194, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3610]}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: L. Brown\\nGender: male\\nAge: 32\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Software Engineer\\nAddress: 25, Victoria street, Ashland\\nAdmission Time: 25th, March\\nRecord Time: 25th, March\\nHistorian: Self\\nHospital Name: Ashland General Hospital\\n\\nChief Complaint:\\nHigh fever, chills, and headache for 3 days"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3206, ""doc_id"": 100197, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: O. Richardson\\nGender: Female\\nAge: 56\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 95, Knoxville Street, Lakeside\\nAdmission Time: 15th February\\nRecord Time: 15th February\\nHistorian: Self\\nHospital Name: Lakeside General Hospital\\n\\nChief Complaint:\\nShortness of breath and chest pain for 2 months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2283, ""doc_id"": 187, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: A. Davis\\nGender: female\\nAge: 85\\nEthnicity: Caucasian\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 74, Windsor street, Kingsport\\nAdmission Time: 1st, March\\nRecord Time: 1st, March\\nHistorian: Self\\nHospital Name: Kingsport General Hospital\\n\\nChief Complaint:\\nSour, heavy, swollen, and painful right lower limb for 6 months; worsening over the last week."", ""type"": ""Document""}}']"
Medical,35.8°C,[400214],"[""1. M. Young's temperature is 36.2°C.""]","[""The newborn's general condition, according to the hospital records, was of a stable temperature at 35.8°C.""]","According to the hospitalization records of Richmond General Hospital, what is M. Young's temperature?",406286,Factual Question,6286,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2739, ""doc_id"": 214, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n----------------------\\n\\nBasic Information\\n-----------------\\nName: M. Young\\nGender: Female\\nAge: 8 hours after birth\\nEthnicity: \\nMarital Status: \\nOccupation: \\nAddress: 90, Maplewood street, Richmond\\nAdmission Time: 28th, February\\nRecord Time: 28th, February\\nHistorian: Mother\\nHospital Name: Richmond General Hospital\\n\\nChief Complaint\\n---------------\\nDifficulty breathing and cyanosis occurring immediately after resuscitation"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2408, ""doc_id"": 194, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3610]}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: L. Brown\\nGender: male\\nAge: 32\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Software Engineer\\nAddress: 25, Victoria street, Ashland\\nAdmission Time: 25th, March\\nRecord Time: 25th, March\\nHistorian: Self\\nHospital Name: Ashland General Hospital\\n\\nChief Complaint:\\nHigh fever, chills, and headache for 3 days"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3683, ""doc_id"": 400214, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Newborn Experiences Respiratory Distress at Richmond General Hospital**\\n\\nRICHMOND \\u2013 A newborn, M. Young, was admitted to Richmond General Hospital on February 28th, experiencing severe respiratory distress immediately after birth. The infant, born at 40 weeks of gestation through a normal vaginal delivery, presented with difficulty breathing and cyanosis right after resuscitation."", ""type"": ""Document""}}']"
Finance,Major investment in Project Ampere,[400078],"['1. InnovateTech, Inc. completed an Initial Public Offering (IPO) in November 2019.']","[""November 2019 was noteworthy for the company's major investment of $20 million in Project Ampere, a cutting-edge social media analytics platform.""]","What significant corporate event did InnovateTech, Inc. complete in November 2019?",402818,Factual Question,2818,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 261, ""doc_id"": 48, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""acquisition of Tech Solutions Ltd., with a total value of $8 million. This acquisition expanded the company\'s business scope and enhanced market competitiveness. In November 2021, InnovateTech Solutions conducted a large-scale financing activity, raising $20 million through a successful IPO. This strengthened the company\'s financial strength and supported expansion and development. In December 2021, the company entered into a strategic partnership with GlobalTech Corporation to jointly develop advanced"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1276, ""doc_id"": 78, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In November, InnovateTech successfully completed its Initial Public Offering (IPO), generating funds for expansion and increasing market visibility. This IPO provided capital for business growth and enhanced the company\'s reputation as a publicly traded entity."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3658, ""doc_id"": 400078, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""April 2019 marked the release of an upgraded version of InnovateTech\\u2019s flagship software, further cementing its leadership in the market. The company also distributed $10 million in dividends in June, signifying its dedication to shareholder returns. August saw the acquisition of a controlling stake (51%) in SocialConnect, Inc., bolstering InnovateTech\'s presence in the social media sector."", ""type"": ""Document""}}']"
Medical,Severe headache and dizziness for 2 days.,[400204],"[""1. C. Cruz's chief complaint includes fever."", '2. C. Cruz experiences chills.', '3. C. Cruz has back pain for 2 days.']","[""Upon arrival, Ms. Cruz's primary complaint was a severe headache and dizziness that began abruptly two days prior.""]","According to the hospitalization records of Indianola General Hospital, what is C. Cruz's chief complaint?",406198,Factual Question,6198,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2572, ""doc_id"": 204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3642]}, ""page_content"": ""**Hospitalization Record**\\n\\n**Basic Information:**\\nName: C. Cruz\\nGender: female\\nAge: 65\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 7, Ashland street, Indianola\\nAdmission Time: 17th, February\\nRecord Time: 17th, February, 14:30\\nHistorian: C. Cruz\\nHospital Name: Indianola General Hospital\\n\\n**Chief Complaint:**\\nFever, chills, back pain for 2 days"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3642, ""doc_id"": 400204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**News Report: Indianola General Hospital Treats Local Resident for Acute Pyelonephritis**\\n\\nIndianola, IA \\u2013 On February 17th, Indianola General Hospital admitted 70-year-old male C. Cruz, a retired teacher, presenting with a complex set of symptoms. Ms. Cruz, a resident of Indianola, sought medical attention due to persistent fever, chills, and debilitating back pain that began abruptly two days prior."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3717, ""doc_id"": 300001, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Chief complaint of Q. Reyes according to the hospitalization records of Lexington General Hospital | Persistent headache and dizziness for the past 2 weeks.\\nHistorian for J. Rodriguez according to the hospitalization records of Granville General Hospital | Father: Juan Rodriguez.\\nChief complaint of I. Thomas according to the hospitalization records of Bridgewater General Hospital | Persistent cough and shortness of breath for 3 weeks."", ""type"": ""Document""}}']"
Finance,$750 million,[400042],['1. The total assets value of Advanced Manufacturing Solutions Inc. in 2017 was $800 million.'],"['Total assets were valued at $750 million, with liabilities at $300 million, resulting in shareholder equity of $500 million.']",What was the total assets value of Advanced Manufacturing Solutions Inc. in 2017?,402753,Factual Question,2753,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 69, ""doc_id"": 42, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In 2017, Advanced Manufacturing Solutions Inc. underwent significant financial developments and strategic initiatives that propelled the company towards growth and success. The year started with an extensive asset restructuring process, aimed at consolidating operations and improving operational efficiency. This restructuring had a positive impact on the company\'s financial indicators, including operating income, net profit, total assets, and shareholder equity."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 79, ""doc_id"": 42, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In conclusion, Advanced Manufacturing Solutions Inc. has experienced significant financial developments and strategic initiatives in 2017, positioning the company for continued growth and success. The company\'s strong financial indicators, coupled with its commitment to ongoing investment and risk management, bode well for its future prospects in the manufacturing industry."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3567, ""doc_id"": 400042, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Furthermore, in May 2017, Advanced Manufacturing Solutions Inc. adopted a Whistleblower Protection Policy, demonstrating its commitment to promoting ethical behavior and accountability.\\n\\nA major highlight was the $50 million investment in Project Automate in March, which expanded the company\'s market presence and improved profitability. April saw the acquisition of Tech Tools Ltd. for $90 million, boosting operational capacity and market competitiveness."", ""type"": ""Document""}}']"
Medical,37.7°C,[400205],['1. The temperature of G. Gonzalez during the physical examination is 37.6°C.'],"['Upon her admission to Oxford General Hospital, a thorough physical examination revealed a temperature of 37.7°C, with normal vital signs otherwise.']","According to the hospitalization records of Oxford General Hospital, what is the temperature of G. Gonzalez during the physical examination?",406190,Factual Question,6190,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3547, ""doc_id"": 400205, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Oxford General Hospital Addresses Severe Back Pain Case**\\n\\nOxford General Hospital recently admitted G. Gonzalez, a 42-year-old Hispanic female and a resident of Belmont Street, Oxford, on July 24th. Gonzalez, a teacher by profession, presented with severe right-sided back pain and hematuria that persisted for two days, prompting her to seek urgent medical care."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2588, ""doc_id"": 205, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3552]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: G. Gonzalez\\nGender: female\\nAge: 42\\nEthnicity: Hispanic\\nMarital Status: married\\nOccupation: teacher\\nAddress: 5, Belmont street, Oxford\\nAdmission Time: 24th, July\\nRecord Time: 24th, July\\nHistorian: self\\nHospital Name: Oxford General Hospital\\n\\nChief Complaint:\\nSevere left-sided back pain and hematuria for 2 days"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2572, ""doc_id"": 204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3642]}, ""page_content"": ""**Hospitalization Record**\\n\\n**Basic Information:**\\nName: C. Cruz\\nGender: female\\nAge: 65\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 7, Ashland street, Indianola\\nAdmission Time: 17th, February\\nRecord Time: 17th, February, 14:30\\nHistorian: C. Cruz\\nHospital Name: Indianola General Hospital\\n\\n**Chief Complaint:**\\nFever, chills, back pain for 2 days"", ""type"": ""Document""}}']"
